"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","search_clicks_P",50684.9525486034,3454970.30986072,0.00944530787839571,17103.8134151521,0.0059821983449894,3454970.30986072,0.00944530787839571,17103.8134151521,0.0059821983449894,TRUE,0.087441972939085,0.087441972939085,5994.38943894389,1210866.66666667,17169.7974708339,17169.7974708339,0.132092795022407,0.132092795022407,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,17103.8134151521,6437.49489190547,443.105452961572,2.85330367493866,2.85330367493866,0.35047093261866,0.35047093261866,7,FALSE,1.40745366848629,0.255357600386698,0,3.42212640123928,0.0700572605006561
"12","newsletter",400391.230906816,20844997.1942925,0.056986717270032,103193.05541729,0.0360926134042618,20844997.1942925,0.056986717270032,103193.05541729,0.0360926134042618,TRUE,NA,NA,NA,NA,22651.3132140137,22651.3132140137,NA,NA,0.62915189426,0.936173709241953,0.959500487274433,0.974250705543892,0.0562613177156742,0.0523331468120621,0.0486281266925321,0.0523331468120621,0.23025842885912,0,35808.2223962089,0.0004468929818,65481090.2533626,1e-04,"1_258_3",1,258,3,1802,3,103193.05541729,27980.5178048198,5329.20459080612,NA,NA,NA,NA,7,FALSE,NA,NA,NA,NA,0.381659640865265
"13","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"14","trend",0.340307135920514,121990531.608618,0.334681078187331,603913.522814943,0.210148158509256,121990531.608618,0.334681078187331,603913.522814943,0.210148158509256,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"15","season",0.350520611406799,-2080080.18567389,-0.00570670092242025,-10297.4266617519,-0.00358327006864258,-2080080.18567389,-0.00570670092242025,-10297.4266617519,-0.00358327006864258,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"16","holiday",1,8601582.77964589,0.0235984462142149,277470.412246642,0.0965533871515971,8601582.77964589,0.0235984462142149,277470.412246642,0.0965533871515971,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.189098589311984,209002410.940155,0.573398208162746,1034665.40069384,0.360040006416084,209002410.940155,0.573398208162746,1034665.40069384,0.360040006416084,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"18","events",0.979911217661208,1685524.57479275,0.00462423742698918,842762.287396375,0.293262091452897,1685524.57479275,0.00462423742698918,842762.287396375,0.293262091452897,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,NA
"19","tv_S",561493.281965319,3318254.00656372,0.00910363135541674,16427.0000324936,0.00571622206863194,3318254.00656372,0.00910363135541674,16427.0000324936,0.00571622206863194,TRUE,0.210854430775947,0.210854430775947,14454.6552475248,2919840.36,NA,NA,0.191304650352517,0.191304650352517,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,16427.0000324936,20782.4856440499,6327.83039652513,1.1364504895616,1.1364504895616,0.879932746023774,0.879932746023773,1,TRUE,1.32847979271883,0.043884279395203,1.05082800222607,1.60347272416781,0.0741159865957242
"20","ooh_S",184405.079106474,8591283.18380727,0.0235701892684117,42531.104870333,0.0147998563208252,8591283.18380727,0.0235701892684117,42531.104870333,0.0147998563208252,TRUE,0.619578878120078,0.619578878120078,42473.8481848185,8579717.33333333,NA,NA,0.49530639375607,0.49530639375607,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,42531.104870333,63850.7451964244,21376.8970116059,1.00134804563188,1.00134804563188,0.998653769148743,0.998653769148742,1,TRUE,1.10278446075191,0.0265730030241587,0.93433145497879,1.26897133217018,0.664690415288382
"21","print_S",404601.343531856,3615738.22357454,0.00991977943822305,17899.6941761116,0.00622868610634073,3615738.22357454,0.00991977943822305,17899.6941761116,0.00622868610634073,TRUE,0.0514722971631998,0.0514722971631998,3528.56853685369,712770.844444444,NA,NA,0.208455270530501,0.208455270530501,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,17899.6941761116,5269.87726645933,1741.30872960565,5.0727919804194,5.0727919804194,0.197130101896535,0.197130101896534,1,TRUE,5.722687046459,0.186419502451234,4.54063604730661,6.88825928543462,0.0627190763929119
"22","facebook_I",29539.9770287745,514460.570560854,0.00141142280609597,2546.834507727,0.000886240432789022,514460.570560854,0.00141142280609597,2546.834507727,0.000886240432789022,TRUE,0.0306524210016902,0.0306524210016902,2101.30835975756,424464.288671027,8016398.65550349,8016398.65550349,0.0296597847472261,0.0296597847472261,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,2546.834507727,2814.26795636585,712.959596608288,1.21202321206243,1.21202321206243,0.825066706683246,0.825066706683246,1,TRUE,0.989142260409501,0.280681908310235,0,2.74957129970674,0.110275612798608
"23","search_clicks_P",47939.7255169912,1305655.25637132,0.00358206578150889,6463.63988302636,0.0022491995416059,1305655.25637132,0.00358206578150889,6463.63988302636,0.0022491995416059,TRUE,0.087441972939085,0.087441972939085,5994.38943894389,1210866.66666667,17169.7974708339,17169.7974708339,0.0752739006136858,0.0752739006136858,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,6463.63988302636,6055.4130048664,61.0235659225061,1.07828160797059,1.07828160797059,0.927401517941194,0.927401517941195,1,TRUE,1.61115031687303,0.272729001757858,0,3.32305643696627,4.69597400286042e-05
"24","newsletter",266139.037901947,7952483.58461177,0.0218176422814841,39368.7306168899,0.0136994220686156,7952483.58461177,0.0218176422814841,39368.7306168899,0.0136994220686156,TRUE,NA,NA,NA,NA,22651.3132140137,22651.3132140137,NA,NA,0.79490827754,0.943190839963695,0.933840822911502,0.985245174476364,0.0530789097895906,0.0754795566927217,0.0378978216420661,0.0754795566927217,0.201540431483848,0,60923.8117388612,0.0008304861849,65481090.2533626,1e-04,"2_131_4",2,131,4,914,3,39368.7306168899,30154.3674361982,7503.05422218449,NA,NA,NA,NA,1,TRUE,NA,NA,NA,NA,0.171372213009058
"25","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"26","trend",0.343931603159453,123289801.117265,0.338467909609106,610345.550085468,0.211962519515452,123289801.117265,0.338467909609106,610345.550085468,0.211962519515452,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"27","season",0.350223393109716,-2078316.41524081,-0.00570560911120121,-10288.6951249545,-0.00357308698475203,-2078316.41524081,-0.00570560911120121,-10288.6951249545,-0.00357308698475203,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"28","holiday",1,8601582.7796459,0.0236139544096381,277470.412246642,0.0963607052800719,8601582.7796459,0.0236139544096381,277470.412246642,0.0963607052800719,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.189017075988989,208912317.82475,0.573527695437532,1034219.39517203,0.359166620780167,208912317.82475,0.573527695437532,1034219.39517203,0.359166620780167,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"30","events",0.988051176398951,1699525.94577716,0.0046657143492876,849762.972888582,0.295108075579779,1699525.94577716,0.0046657143492876,849762.972888582,0.295108075579779,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"31","tv_S",430326.129203282,3712223.99234683,0.010191181130184,18377.3464967665,0.00638213658626267,3712223.99234683,0.010191181130184,18377.3464967665,0.00638213658626267,TRUE,0.210854430775947,0.210854430775947,14454.6552475248,2919840.36,NA,NA,0.203638035145389,0.203638035145389,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,18377.3464967665,23195.1359784084,8740.48073088364,1.27137909428269,1.27137909428269,0.786547462119629,0.786547462119629,1,FALSE,1.32847979271883,0.043884279395203,1.05082800222607,1.60347272416781,0.111675004384197
"32","ooh_S",182139.630316675,8964667.1453419,0.0246107311515519,44379.5403234748,0.0154122516017099,8964667.1453419,0.0246107311515519,44379.5403234748,0.0154122516017099,TRUE,0.619578878120078,0.619578878120078,42473.8481848185,8579717.33333333,NA,NA,0.491766447006813,0.491766447006813,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,44379.5403234748,69218.4775840604,26744.6293992419,1.04486742360532,1.04486742360532,0.95705921862268,0.95705921862268,1,FALSE,1.10278446075191,0.0265730030241587,0.93433145497879,1.26897133217018,0.68021798792742
"33","print_S",401773.440699983,3888368.17681493,0.0106747503578609,19249.3474099749,0.00668496751631131,3888368.17681493,0.0106747503578609,19249.3474099749,0.00668496751631131,TRUE,0.0514722971631998,0.0514722971631998,3528.56853685369,712770.844444444,NA,NA,0.213300613616225,0.213300613616225,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,19249.3474099749,5044.6177323412,1516.04919548751,5.4552851131918,5.4552851131918,0.183308475955149,0.183308475955149,1,FALSE,5.722687046459,0.186419502451234,4.54063604730661,6.88825928543462,0.0640077432409629
"34","facebook_I",10459.3459851663,142786.427112955,0.000391992063151341,706.863500559186,0.000245481544857755,142786.427112955,0.000391992063151341,706.863500559186,0.000245481544857755,TRUE,0.0306524210016902,0.0306524210016902,2101.30835975756,424464.288671027,8016398.65550349,8016398.65550349,0.00783270285485401,0.00783270285485401,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,706.863500559186,2666.1064557619,564.798096004341,0.336392085091566,0.336392085091566,2.972721548213,2.972721548213,1,FALSE,0.989142260409501,0.280681908310235,0,2.74957129970674,0.0851166139664506
"35","search_clicks_P",38283.6402805985,1521476.0159296,0.0041769132723499,7532.0594848,0.00261575480531462,1521476.0159296,0.0041769132723499,7532.0594848,0.00261575480531462,TRUE,0.087441972939085,0.087441972939085,5994.38943894389,1210866.66666667,17169.7974708339,17169.7974708339,0.0834622013767188,0.0834622013767188,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,7532.0594848,6119.70636774135,125.316928797455,1.25651820948874,1.25651820948874,0.795849986453348,0.795849986453349,1,FALSE,1.61115031687303,0.272729001757858,0,3.32305643696627,0.000310657668949366
"36","newsletter",255673.886900532,5604031.72817208,0.0153847673305387,27742.7313275846,0.00963457377482579,5604031.72817208,0.0153847673305387,27742.7313275846,0.00963457377482579,TRUE,NA,NA,NA,NA,22651.3132140137,22651.3132140137,NA,NA,0.77792773055,0.943674459910062,0.962974501404627,0.976111463312035,0.0529770604293019,0.0604196890886217,0.0486667237222277,0.0604196890886217,0.207636885058965,0,58933.5533510706,0.0008000887461,65481090.2533626,1e-04,"2_206_1",2,206,1,1436,4,27742.7313275846,30964.4619041538,8313.14869014005,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,0.0956459740239802
"37","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"38","trend",0.37018197227002,132699819.729006,0.364265987711546,656929.800638644,0.229354593672247,132699819.729006,0.364265987711546,656929.800638644,0.229354593672247,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"39","season",0.368109954544454,-2184459.90814673,-0.00599642446901839,-10814.1579611224,-0.00377555836661617,-2184459.90814673,-0.00599642446901839,-10814.1579611224,-0.00377555836661617,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"40","holiday",1,8601582.77964589,0.0236116676986371,277470.412246642,0.0968735374693485,8601582.77964589,0.0236116676986371,277470.412246642,0.0968735374693485,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"41","competitor_sales_B",0.17963049385175,198537738.594368,0.54499354705066,982860.092051327,0.343146979829428,198537738.594368,0.54499354705066,982860.092051327,0.343146979829428,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"42","events",0.9699445686357,1668381.15245197,0.00457976890713443,834190.576225987,0.29124183507816,1668381.15245197,0.00457976890713443,834190.576225987,0.29124183507816,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,NA,NA,NA,NA,NA,NA,NA,1,FALSE,NA,NA,NA,NA,NA
"43","tv_S",528561.058711392,3943013.3123298,0.0108237195929034,19519.8678828208,0.0068149920470162,3943013.3123298,0.0108237195929034,19519.8678828208,0.0068149920470162,TRUE,0.210854430775947,0.210854430775947,14454.6552475248,2919840.36,NA,NA,0.20876049793892,0.20876049793892,0.78700295825,0.943635153830002,0.931854984264842,0.984511835540676,0.0530194822928636,0.0770593363959415,0.0388182920360772,0.0770593363959415,0.203440356129277,0,86308.0704308157,0.001218182805,65481090.2533626,1e-04,"2_210_3",2,210,3,1466,4,19519.8678828208,22352.2655226914,7897.61027516663,1.35042085394347,1.35042085394347,0.740509891475553,0.740509891475553,1,FALSE,1.32847979271883,0.043884279395203,1.05082800222607,1.60347272416781,0.117680918038845
